movie_id,index,title,year,description,genre,rating,users_rating,votes,languages,directors,actors,runtime
725870,1,Dear Nathan : Thank You Salma,2022,Nathan and Salma enter the world of social activism. Salma chooses to express himself digitally while Nathan chooses to take to the streets. This difference sparked a big fight when Nathan is involved in a big riot at a demonstration,"Drama, Romance",13+,7.2,146,Indonesia,Kuntz Agus,"['Amanda Rawles', 'Jefri Nichol', 'Ardhito Pramono', 'Indah Permatasari', 'Susan Sameh']",112 mn
920364,2,Cek Ombak (Melulu),2022,"Igo and kika want to confess in front of each parent that they're dating. It turned out that Rosa, her mom and igo's father were dating, and then they got married and stayed in the same house. Igo and kika desperately changed their feelings because they lived together, not as lovers, but as brothers",Drama,17+,7.4,19,Indonesia,Suroso MYS,"['Bryan Domani', 'Hanggini', 'Shareefa Daanish', 'Hans de Kraker']",80 min
920374,3,Enam Batang,2022,"Arya and niken were happily married. Their lives are just fine. One day arya attended her college reunion with niken, and met maia, an ex-aryan. Since then, things haven't been the same.",Drama,17+,7.2,13,Indonesia,Eman Pradipta,"['Angela Gilsha', 'Omar Daniel', 'Ersya Aurelia']",82 min
920372,4,Ada Mertua di Rumahku,2022,"The story begins on the wedding day of irfan and nirmala. In the process of akkad, there came a man who turned out to be nirmala's biological father, bambang. Nirmala, who was so upset with her father, finally decided to try to live again with him. When nirmala was sent to surabaya, irfan had to live with her and her bambang, which no one in the world was able to live with. While living at home together, bambang continued to do annoying things, such as suddenly selling the house of nirmala",Drama,13+,7.7,15,Indonesia,Rully Manna,"['Rano Karno', 'Roger Danuarta', 'Cut Meyriska']",89 min
892560,5,Merindu Cahaya de Amstel,2022,Nico and Khadija's relationship that has a mutual heart but is hindered by the bitter story of the past and the difference in beliefs between the two.,"Drama, Romance",13+,8.2,59,Indonesia,Hadrah Daeng Ratu,"['Amanda Rawles', 'Bryan Domani', 'Rachel Amanda', 'Oki Setiana Dewi', 'Ridwan Remin', 'Maudy Koesnaedi']",107 min
910795,6,Teluh,2022,about a terror that started with someone's murder of Yulia. She is an employee and the mistress of the director and owner of a batik company. namely Mr. Indra.,"Drama, Horror, Thriller",17+,6,33,Indonesia,Dedy Mercy,"['Baron Hermanto', 'Ferdi Ali', 'Monique Henry', 'Farahdibba Ferreira']",101 min
839829,7,Ben & Jody,2022,"Since deciding to leave Filosofi Kopi, Ben has lived in his hometown and actively defending farmer groups whose lands have been taken over by the Company.","Action, Adventure, Drama",13+,5.4,321,Indonesia,Angga Dwimas Sasongko,"['Rio Dewanto', 'Chicco Jerikho', 'Hana Malasan', 'Aghniny Haque', 'Muzakki Ramdhan', 'Reza Hilman']",114 min
840554,8,Akad,2022,"Mr. Abdi wants his son, Indira to get married soon because he doesn't want his son to be lonely like him. Indira is an independent woman and does not feel there is an interest in getting married.","Comedy. Drama, Romance",13+,5.9,11,Indonesia,Reka Wijaya,"['Kevin Julio', 'Indah Permatasari', 'Mathias Muchus', 'Nino Fernandez']",90 min
928608,9,Pelangi Tanpa Warna,2022,"the figure of Fedi, whose beautiful plans in his marriage were destroyed because his wife had Alzheimer. From day to day, Kirana keeps forgetting all the simple to the most important things in her life.",Drama,13+,7.6,7,Indonesia,Indra Gunawan,"['Rano Karno', 'Maudy Koesnaedi', 'Zayyan Sakha', 'Ratna Riantiarno']",82 min
922968,10,Arini by Love,2022,"Arini wants to pursue her own happiness by finding someone from her past, but she must face the Love.inc system that keeps getting in the way.","Action, Drama, Mystery",17+,4.4,37,Indonesia,Adrianto Sinaga,"['Della Dartyan', 'Kelly Tandiono', 'Marissa Anita', 'Faris Nahdi']",70 min
928610,11,Father & Son,2022,An unpopular teenager meets his father who has become a spirit after his death. His father guides him in finding love and rising against the bullies at school.,"Drama, Fantasy ",17+,7.5,12,Indonesia,Danial Rifki,"['Bio One', 'Cassandra Lee', 'Dwi Sasono']",76 min
799571,12,Garis Waktu,2022,"April, who likes to write poetry, meets Senandika, a musician who manages to steal attention with his philosophy and principles.","Drama, Romance",13+,6.6,59,Indonesia,Jeihan Angga,"['Reza Rahadian', 'Anya Geraldine', 'Michelle Ziudith']",100 min
933834,13,Ambo Nai Supir Andalan,2022,"Ambo nai had to accept that he was fired as an intercounty passenger driver during his wife's heavy pregnancy. But his hope rises as he receives information from his friend malla that the fish owners in bajoe, southern bone sulawesi district need a driver to escort the fish to the city.","Comedy, Drama",SU,9.3,21,Indonesia,Andi Burhamzah,"['Ambo Nai', 'Malla', 'Bos Pirang', 'Jinbeleng', 'Diny Arishandy', 'ukke', 'DG. Nojeng']",83 min
943747,14,Iblis dalam Kandungan,2022,"After 15 years of marriage and adopting two siblings, Alani and Vito, Amelia is finally pregnant. In order to take care of his wife who also suffers from high blood pressure, her husband, Verdi, changes jobs from Jakarta to a plantation company at the foot of Mount Salak. Problems arise when the house they live in turns out to be inhabited by the spirit of a woman who in the past lost her baby in her womb due to a mystical event. Now the spirit has come, trying to penetrate into Amelia's body to own the baby in her womb. Vito and Alani try to protect their mother even though they have to face a life-threatening terror. As it turned out, the woman's spirit wasn't the only danger they have to deal with. There are other, more sinister forces that have never been thought of before.",Horror,17+,6.5,47,Indonesia,Adhe Dharmastriya,"['Nafa Urbach', 'Ali Syakieb', 'Denira Wiraguna', 'Muhammad Adhiyat']",86 min
945070,15,Jul-24,2022,"Anggara finds his wife, Aini, suddenly lost some of her memory due to illness just before their second wedding anniversary.",Drama,13+,6.4,14,Indonesia,Dyan Sunu Prastowo,"['Enzy Storia', 'Rio Dewanto', 'Faris Nahdi', 'Angie Ang']",82 min
945071,16,Satu untuk Selamanya,2022,"Salma, who had left her two best friends, Alex and Ziva, nine years ago, suddenly returned to her hometown. Salma's return got a strong reaction from Alex, who once felt very hurt because Salma had just left their motorcycle gang without having time to say goodbye. This situation makes Salma have to try hard to win the hearts of Alex and Ziva to carry out their dream that had never been realized before: driving on a sacred path called Route 18.",Drama,13+,7.4,7,Indonesia,Dyan Sunu Prastowo,"['Adinda Thomas', 'Dimas Anggara', 'Megan Domani']",70 min
551478,17,Jakarta vs Everybody,2022,Dom came to Jakarta with a dream to become an actor. His meeting with Pingkan and Radit brought him into the labyrinth of drug trafficking. Will Dom's dreams become obsolete and forgotten?,Drama,21+,6.1,91,Indonesia,Ertanto Robby Soediskam,"['Jefri Nichol', 'Wulan Guritno', 'Ganindra Bimo', 'Jajang C. Noer', 'Dea Panendra']",100 min
926805,18,"Hayya 2: Hope, Dream & Reality",2022,"Traumatized by the conflict situation that occurred in Palestine made Hayya not want to be sent home and flee again so that she could live in Indonesia. While on the run, Hayya meets Lia, who thinks Hayya is her daughter. Lia asks Hayya to stay at her house and meet Faisal. Faisal considers Hayya the savior of his household life. Elsewhere, Rahmat, Adhin, and Ricis continue to search for Hayya. One by one, the veil of Faisal's family is opened until, at its peak, a tragedy occurs to Hayya. The situation becomes complex and tense.",Drama,13+,6,7,Indonesia,Jastis Arimba,"['Amna Shahab', 'Dhini Aminarti', 'Dimas Seto', 'Fauzi Baadila', 'Donny Alamsyah', 'Asri Welas', 'Yusuf Ozkan', 'Adhin Abdul Hakim']",100 min
942012,19,Menjelang Magrib,2022,Three students majoring in psychology meet a mentally ill patient for a thesis and a documentary. Their research into the phases of mental change leads to mystical things that are difficult to accept by logic.,"Drama, Horror, Mystery",13+ ,6.1,67,Indonesia,Helfi Kardit,"['Annette Edoarda', 'Novia Bachmid', 'Jeffry Reksa', 'Fajar Kurniawan', 'Tien Kadaryono']",102 min
854343,20,Rio the Survivor,2022,"Rio has been sick since birth, lives without parents, and is raised only by his grandmother. Rio is a smart boy and good at playing football. His dream is to become a national team player. But he is experiencing a lot of discrimination and has to drop out of school and a lot of conflict in the neighborhood where he lives after he is found to be living with HIV.",Drama,13+ ,7,6,Indonesia,Yudie Oktav,"['Raditya Evandra', 'Sri Widayati', 'Bambang Pamungkas', 'Akinza Kiyosaki', 'Abdqori Afandi', 'Brydden Escobar']",114 min
952909,21,Tuhan Minta Duit,2022,"Adi tries all the means so that his prayer is granted, but his prayer ""God, give me money"" does not come true. The prayer that he originally asked is only to repair the leaking roof tiles of his house. His goal increases when his grandmother, who has taken care of him since he was a baby, falls in the bathroom, is hospitalized, and costs a lot of money. Instead of being granted, Adi even lost his job as a polisher because his friends in the profession exposed his disguise. It turns out that Adi is a woman. Women are prohibited from participating in polishing because it can cause ""excessive"" compassion from potential customers. At the lowest point, her prayer is answered: Adi finds a bag containing hundreds of millions of cash. But that leads her to doom.",Drama,13+ ,8.6,10,Indonesia,Azhar Kinoi Lubis,"['Anantya Kirana', 'Asrul Dahlan', 'Putri Ayudya', 'Rendi Khrisna']",77 min
952911,22,Pulang,2022,"Father and daughter's road trip to grandma's house to visit her mother and youngest son, being their last trip as a whole family.",Drama,13+ ,8.2,29,Indonesia,Azhar Kinoi Lubis,"['Imelda Therinne', 'Ringgo Agus Rahman', 'Mark Natama', 'Ziva Magnolya']",84 min
951013,23,I Need You Baby,2022,Beno and Cathy are always annoyed with people around them who always ask about when they will have children.,"Comedy, Drama",13+ ,4.7,15,Indonesia,Cuk Fk,"['Shandy Aulia', 'Gading Marten', 'Dea Panendra', 'Joshua Pandelaki', 'Cut Keke', 'Risma Nilawati']",81 min
950623,24,Selimut Kabut Rongkong,2022,A traveler activist visiting the mountain village of Rongkong tried to apply the tradition to local children until she was caught in an internal conflict with residents related to the polemic of customary land.,Drama,13+,0,0,Indonesia,Indra J. Mae,"['Dinda Tarisa', 'A. Agung Iskandar', 'Analisa Moita', 'Wasri Yanti Pasande']",107 min
835380,25,Tutuge,2022,A writer looking for inspiration in Bali meets someone who leads her into the mysterious life story of the owner of an artistic villa.,"Horror, Thriller",17+,6.4,14,Indonesia,Virlanwana Langgong,"['Imelda Therinne', 'Rania Putrisari', 'Rizky Hanggono', 'Ismi Melinda']",141 min
